#Atom_RMSD:ini opt rep pre zincid
0.185775 0.196227 0.196227 0.196364 ZINC000035570805
0.147615 0.205357 0.205357 0.204903 ZINC000035570805_1
0.113881 0.119025 0.119025 0.115446 ZINC000035644930
0.0966629 0.0894269 0.0894269 0.0895043 ZINC000035644930n
0.0611814 0.0610212 0.0610212 0.0610212 ZINC000035731136
0.154075 0.144546 0.144546 0.138426 ZINC000035970936
0.141596 0.112224 0.112224 0.112819 ZINC000036140943n
0.0753291 0.0653441 0.0653441 0.064736 ZINC000036222630_1
0.0669889 0.0495728 0.0495728 0.0493134 ZINC000036472809
0.0557917 0.051151 0.051151 0.0517054 ZINC000036533315
0.0898833 0.0956992 0.093238 0.0939019 ZINC000036722181_1
0.0886957 0.0826023 0.0826023 0.0820823 ZINC000037180282
0.198809 0.0893716 0.0893716 0.0890517 ZINC000037240057_1
0.0926606 0.0721847 0.0721847 0.0736555 ZINC000037408014
0.160494 0.111316 0.111316 0.113563 ZINC000037439210
0.065971 0.0773779 0.0773779 0.0777444 ZINC000037439210n
0.125815 0.0721651 0.0721651 0.0716236 ZINC000037730507
0.161413 0.231027 0.231027 0.238144 ZINC000038063705
0.0992732 0.0858639 0.0858639 0.0939717 ZINC000038124736
0.0975422 0.0951084 0.0951084 0.0952682 ZINC000038124736n
0.0629088 0.0975652 0.0975652 0.0976373 ZINC000038124736n_1
0.072028 0.0621748 0.0621748 0.0616534 ZINC000038391975
0.109904 0.0885105 0.0885105 0.0897567 ZINC000038583212
0.122192 0.117834 0.117834 0.11797 ZINC000039101372
0.0666617 0.0985971 0.0985971 0.0984676 ZINC000039113424n_2
0.102816 0.108597 0.108597 0.107893 ZINC000039119147_1
0.0746082 0.0745757 0.0745757 0.0742877 ZINC000039148328
0.0629794 0.0659991 0.0659991 0.0606439 ZINC000039243736
0.068396 0.0849307 0.0977507 0.094333 ZINC000039253580
