#Atom_RMSD:ini opt reo ret zincid
0.332955 0.322555 0.322555 0.298368 2300I2
0.0678017 0.0614461 0.0614461 0.0637459 2300I4
0.103899 0.130221 0.130221 0.133807 2300I5
0.108538 0.0710836 0.0710836 0.0714844 2300I6
0.29251 0.590286 0.590286 0.597539 2300I7
0.368521 0.365989 0.365989 0.366228 2300I8
0.202431 0.12804 0.12804 0.130798 2300IA
0.855173 0.331487 0.331487 0.320984 2300IB
0.187733 0.178411 0.178411 0.178077 2300IC
0.300477 0.267054 0.267054 0.267054 2300ID
0.696051 0.465271 0.465271 0.463621 2300IE
0.0672919 0.0648891 0.0648891 0.064999 2300IG
0.152211 0.165553 0.165553 0.124323 2300IH
0.723514 0.447374 0.348987 0.417164 2300II
0.204388 0.235721 0.235721 0.235721 2300IK
0.212153 0.0782345 0.0782345 0.079719 2300IL
0.0980754 0.0814577 0.0814577 0.0819172 2300IM
0.212247 0.221182 0.221182 0.217694 2300IO
0.485779 0.418915 0.418915 0.416461 2300IQ
0.290549 0.28932 0.28932 0.290965 2300IR
0.144908 0.202845 0.202845 0.202918 2300IS
0.298729 0.101179 0.101179 0.101815 2300IU
0.129982 0.0750009 0.0750009 0.0714541 2300IW
0.462038 0.359935 0.366336 0.366158 2300IY
0.209929 0.311319 0.311319 0.311228 2300J1
0.393117 0.186735 0.186735 0.191423 2300J2
0.274534 0.335574 0.335574 0.339044 2300J3
0.530636 0.283695 0.283695 0.282621 2300J6
0.34515 0.325296 0.325296 0.32519 2300J7
0.19162 0.350618 0.350618 0.351951 2300J8
0.308834 0.312498 0.312498 0.308982 2300JA
0.203136 0.219513 0.219513 0.215847 2300JB
0.305318 0.227349 0.227349 0.226218 2300JD
0.130443 0.0994056 0.0994056 0.0976401 2300JE
0.507852 0.498795 0.498795 0.49873 2300JF
0.743246 0.502881 0.502881 0.502623 2300JG
0.0620917 0.0632723 0.0632723 0.0642303 2300JH
0.827163 0.349135 0.400622 0.394518 2300JI
0.478156 0.405967 0.405967 0.405689 2300JK
0.485001 0.322532 0.322532 0.321901 2300JL
0.135555 0.317894 0.317894 0.317978 2300JM
0.460235 0.457176 0.457176 0.144592 2300JN
0.902881 0.535725 0.535725 0.533551 2300JO
0.0969802 0.266641 0.266641 0.265537 2300JP
0.185733 0.30056 0.30056 0.250563 2300JR
0.367319 0.167061 0.167061 0.16972 2300JS
0.463475 0.308231 0.308231 0.306883 2300JT
0.326281 0.296461 0.296461 0.297126 2300JU
0.213973 0.304972 0.304972 0.305286 2300JV
0.393855 0.387822 0.387822 0.384459 2300JW
